vertices_str
"[(170046.656369714, 538690.0459865994, 4.35666), (170066.58773438, 538688.1754761626, 4.35666), (170070.8320303895, 538723.1804464505, 4.35666), (170050.4496688225, 538724.8305879902, 4.35666), (170046.656369714, 538690.0459865994, 4.35666)]"
"[(171100.9989847714, 538247.1770387553, 4.8658), (171100.7881967803, 538254.0738183243, 4.8658)]"
"[(171199.819632471, 538405.9068421484, 0.0), (171224.6684580127, 538406.148439336, 0.0)]"
"[(171224.6684580127, 538406.148439336, -1.7976931348623157e+308), (171224.2794046072, 538420.8933075093, -1.7976931348623157e+308), (171199.5805551606, 538420.6549044631, -1.7976931348623157e+308), (171199.819632471, 538405.9068421484, -1.7976931348623157e+308)]"
"[(171199.819632471, 538405.9068421484, -1.7976931348623157e+308), (171200.0628073911, 538391.2588605142, -1.7976931348623157e+308), (171225.061608282, 538391.5037156149, -1.7976931348623157e+308), (171224.6684580127, 538406.148439336, -1.7976931348623157e+308)]"
"[(170183.1671263177, 538714.0709656392, -1.7976931348623157e+308), (170204.063814195, 538712.3992879571, -1.7976931348623157e+308), (170201.7357373573, 538683.79386787, -1.7976931348623157e+308), (170198.3503241029, 538649.9125828154, -1.7976931348623157e+308), (170186.160369056, 538651.2286435228, -1.7976931348623157e+308), (170182.4075368875, 538652.1321094693, -1.7976931348623157e+308), (170176.1497665878, 538656.6250519279, -1.7976931348623157e+308), (170180.7916553698, 538691.3877633462, -1.7976931348623157e+308), (170181.8964477109, 538700.7010195751, -1.7976931348623157e+308), (170183.1671263177, 538714.0709656392, -1.7976931348623157e+308), (170204.063814195, 538712.3992879571, -1.7976931348623157e+308)]"
"[(170293.5604201219, 538643.7706410174, -1.7976931348623157e+308), (170309.1592909582, 538643.5829480983, -1.7976931348623157e+308), (170309.201128984, 538655.6793454782, -1.7976931348623157e+308), (170293.7094431325, 538655.1717339354, -1.7976931348623157e+308), (170293.5604201219, 538643.7706410174, -1.7976931348623157e+308)]"
"[(170071.3406758397, 538742.4283368137, -1.7976931348623157e+308), (170070.8308880876, 538733.1673573056, -1.7976931348623157e+308), (170051.3945509989, 538734.7417780159, -1.7976931348623157e+308), (170051.9041521359, 538743.9993674128, -1.7976931348623157e+308)]"
"[(170071.3406758397, 538742.4283368137, -1.7976931348623157e+308), (170071.8504635917, 538751.6893163217, -1.7976931348623157e+308), (170052.414126503, 538753.263737032, -1.7976931348623157e+308), (170051.9041521359, 538743.9993674128, -1.7976931348623157e+308)]"
"[(170051.9041521359, 538743.9993674128, -1.7976931348623157e+308), (170071.3406758397, 538742.4283368137, -1.7976931348623157e+308)]"
"[(170051.6590804218, 538743.2644924652, -1.7976931348623157e+308), (170037.6460251955, 538744.2827179938, -1.7976931348623157e+308), (170031.0633800359, 538744.7610303418, -1.7976931348623157e+308), (170031.1421285969, 538732.9112920044, -1.7976931348623157e+308), (170050.8132920193, 538731.8457735362, -1.7976931348623157e+308), (170051.6590804218, 538743.2644924652, -1.7976931348623157e+308)]"
"[(170204.8263201975, 538721.7683105634, -1.7976931348623157e+308), (170183.3527578702, 538723.5263968421, -1.7976931348623157e+308), (170183.2637109087, 538715.0663634167, -1.7976931348623157e+308), (170183.1671263177, 538714.0709656392, -1.7976931348623157e+308), (170204.063814195, 538712.3992879571, -1.7976931348623157e+308), (170204.8263201975, 538721.7683105634, -1.7976931348623157e+308)]"
"[(171379.758, 538363.303, 0.0), (171404.252, 538363.875, 0.0)]"
"[(171402.867, 538404.051, 0.0), (171378.378, 538403.279, 0.0)]"
"[(171404.252, 538363.875, 0.0), (171402.867, 538404.051, 0.0)]"
"[(171419.677, 538364.236, 0.0), (171418.293, 538404.412, 0.0)]"
"[(171378.378, 538403.279, 0.0), (171379.758, 538363.303, 0.0)]"
"[(171402.867, 538404.051, 0.0), (171418.293, 538404.412, 0.0)]"
"[(171419.677, 538364.236, 0.0), (171430.911, 538364.826, 0.0)]"
"[(171430.911, 538364.826, 0.0), (171464.24, 538366.025, 0.0)]"
"[(171464.24, 538366.025, 0.0), (171465.634, 538385.575, 0.0)]"
"[(171465.634, 538385.575, 0.0), (171465.793, 538400.075, 0.0)]"
"[(171465.793, 538400.075, 0.0), (171465.249, 538406.401, 0.0)]"
"[(171465.249, 538406.401, 0.0), (171452.0886432255, 538405.8858586279, 0.0)]"
"[(171442.9272856592, 538405.526685462, 0.0), (171429.527, 538405.001, 0.0)]"
"[(171429.527, 538405.001, 0.0), (171419.041, 538404.451, 0.0)]"
"[(171419.041, 538404.451, 0.0), (171418.293, 538404.412, 0.0)]"
"[(171378.378, 538403.279, 0.0), (171350.883, 538402.741, 0.0)]"
"[(171350.883, 538402.741, 0.0), (171352.263, 538362.764, 0.0)]"
"[(171352.263, 538362.764, 0.0), (171379.758, 538363.303, 0.0)]"
"[(171674.1970542085, 537153.7682694179, -1.7976931348623157e+308), (171614.8389004402, 537130.8309384444, -1.7976931348623157e+308), (171611.7604072756, 537116.4334211097, -1.7976931348623157e+308), (171674.1970542085, 537153.7682694179, -1.7976931348623157e+308)]"
"[(171830.6869280816, 538170.0928600614, 3.80223), (171837.1328957806, 538169.2052281937, 3.80223), (171832.5683185397, 538145.8356922154, 3.80223), (171826.2762989003, 538146.9328604464, 3.80223), (171830.6869280816, 538170.0928600614, 3.80223)]"
